texto_review,sentimento_real,sentimento_previsto
A loja tem um excelente atendimento,1,1
"Produto de qualidade, entregue antes do prazo.",1,1
"Gostei muito da compra, inclusive o pequeno prazo em que foi entregue.",1,1
Adorei,1,1
"Chegou antes do prazo, produto muito bom!",1,1
Muito bom ,1,1
"Excelente, recebi corretamente o produto.",1,1
"No anúncio feito no site cada kit contém um rolo fusor e um pressor, pedi dois e veio somente um na caixa, na nota fiscal estava marcada dois kits.",0,0
"mercadoria chegou faltando pessa, entrei em contato não retornaram. Mercadoria com defeito.",0,0
Fiquei muito satisfeita. ,1,1
Não recebi o produto que esta sendo cobrado no meu cartão de credito.,0,0
mercadoria entregue,1,0
VEIO EM PERFEITA CONDIÇÃO E ANTES DO PRAZO,1,1
excelente,1,1
A cadeira é linda porém desconfortável e veio descolado uma parte também achei que veio suja o branco dela,1,0
"gostei muito , a entrega foi feita antes do prazo muito bom.",1,1
"Mto bom, parabéns",1,1
"Boa tarde,
Gostei muito do serviço e espero ser atendida bem assim na próxima compra!",1,1
"Chegou bem antes do prazo, tudo certo.",1,1
"Perfeito, comprarei novamente",1,1
"Adorei as pendentes, só uma veio com um pequeno defeito ",1,1
COMPREI UM CARTAO MAS NAO FUNCIONOU E DEU ERRO E ATRAVES DE APLICATIVO ACUSOU SER FALSO,0,0
chegou tudo conforme combinado.,1,1
Bonitos os relógios mas o dourado deveria estar especificado a cor no tom do dourado !!!! Mas ele e muito bonito. ,1,1
Cancelei toda minha compra e até o presente momento ninguém entrou em contato. Que atendimento péssimo ao cliente. Cancelei 30 min depois e os canais de atendimento são horríveis. Ninguém resolve ,0,0
"Produto e entrava sensacionais!!!
",1,0
"Veio bem antes do prazo, o teclado e o mouse funcionam na minha tv smart 4k da Samsung. Uma maravilha!",1,1
"Solicitei a devolução e recebi um prazo para obter a reposta do cliente. 
O cliente simplesmente não respondeu. Fiz o pedido de devolução dentro do prazo de 7 dias conforme o codigo do consumidor.",0,0
Tudo ok,1,1
"Quero uma resposta em relação a minha compra,que ainda não recebi ",0,0
legal,1,1
"Recebi meu produto antes da data prevista,super recomendo esta loja.",1,1
Entrega rápida. Meu pedido veio certinho. Recomendo a loja. ,1,1
"Bolsas espaçosas, lindas!!!",1,1
"Acho a loja de extrema confiança porém comprei esse produto e não recebi uma almofada, é um par. Insatisfeito!",0,0
10,1,1
Panela de muito boa qualidade.,1,1
Mto rápido e produto com uma ótima qualidade ,1,1
100%,1,1
"Produto bom, recomendo",1,1
muito bom,1,1
Produto de ótima qualidade,1,1
"Entregaram o pedido em duas etapas, ou seja, deu a impressão que veio incompleto no primeiro momento, falando do produto é de excelente qualidade, fiquei satisfeito.",1,0
não recebi o produto,0,0
excelente,1,1
bom produto,1,1
"Estou avaliando o fator entrega de mercadoria, ainda não instalei o produto para ter uma avaliação completa",1,0
"Estou com problemas na minha entrega e vejo o empenho de todos do stark em resolver esse problema para que eu tenha meu pedido o mais breve possível entregue,empenho nota 1000.",1,1
"Entrega dentro do prazo, muito bom.",1,1
Lindo do jeitinho da foto,1,1
"espero que continuem assim,pretendo fazer outras compras.",1,1
"Boa noite, o produto veio com defeito, em uma hora de uso percebi que um dos botões não estava mais no relógio (soltou), muito frágil, led AM não esta acendendo, os números 7 e 8 acendem juntos",0,0
"o produto é otimo, super resistente e muito mais higienica que as outras..recomendo.",1,1
"Cartucho HP 60 colorido não funciona, impressora não reconhece como HP. Solicito instruções para devolução do produto e do dinheiro já pago..No Reclame Aqui tem varias queixas de produtos da targaryen .",0,0
entrga rapida,1,1
"Ainda não o testei, mas chegou antes do prazo previsto.",1,1
Toner já está instalado e funcionando perfeitamente.,1,1
Recomendo,1,1
Bom,1,1
Ótimo ,1,1
Então realizei a compra toda nunta e apenas chegou 1 item sendo que comprei 4 itens!,0,0
Amo comprar com vcs!,1,1
Bem útil. ,1,1
Recebi o produto bem antes do prazo. Show de bola a lannister. ,1,1
Ksksksk,1,1
"Gostei do cheiro, não e forte, serve para trabalhar o dia todo cheiroso...",1,1
Preço bom e entrega rápida. ,1,1
Comprei dois controles universais para Ar condicionado e infelizmente recebi controles para TV 3D Samsung.,0,0
A loja é de confiança estou super satisfeita.Recebe todas as figurinhas do album.Meu neto esta feliz da vida. Obrigada.,1,1
ENTREGA REALIZADA ANTES DO PRAZO,1,1
"fazem 2 meses a espera do produto, ja entrei em contato mas ainda não resolveram meu problema, esses parceiros da lannister são horriveis",0,0
Câmera com defeito estou tentando entrar em contato para troca ou devolução não consigo .,0,0
"Apesar do frete não ser grátis, a entrega é demorada. Demorou 16 dias para ser entregue.
O meu pedido veio correto e sem problemas aparentes.",1,1
Ainda nao recebi minha mercadoria.,0,0
Nao entregam no prazo!,0,0
bom,1,1
"Produto de ótima qualidade, sabor ótimo. Entregue antes do prazo",1,1
"Perfeito igual a foto, Material muito bom.
",1,1
"Entrega super rápida, e produto de qualidade, recomendo!",1,1
Estou satisfeita,1,1
"Chegou tudo ok, antes do prazo de entrega!",1,1
"Compra realizada pela internet via Lojas lannister em 03/07/2018. A própria LA enviou-me mensagem hoje, 09/07/2018 perguntando-me se já recebi a compra. Estranha pergunta, não monitoram a entrega?",0,0
confirmei a compra logo em seguida tentei cancelar que era a voltagem errada mas não consegui nunca mais vou comprar de vocês,0,0
Comprei um produto e vocês me entregaram outro.,0,0
O produto realmente é como mostrado no site. A pessoa que ganhou gostou muito,1,1
"Só queria trocar a máscara,pois eu comprei errado.",1,0
Que tapete mais liiiindoo!!! Perfeito. Leve e lindo demais. Felpudo!!!,1,1
Muito bom atendimento. Exatamente o que foi anunciado ,1,1
Até o momento não recebi o produto. Aguardando.,0,0
Bom produto .,1,1
"nota 9,5",1,1
Mias de 1 mês após a compra ainda não recebi o produto. Solicito devolução do valor pago.,0,0
"Muito bom o produto, tinha minhas dúvidas mas quando chegou vi a qualidade do produto...",1,1
Chegou dentro do prazo.,1,1
"Comprei uma capa para um tablet e a que foi entregue não foi a que escolhi no site da lannister.
Não emitiram a nota fiscal do produto.
Nunca mais compro nada desses parceiros da lannister.",0,0
Ótima entrega ,1,1
Entrega super rápida e produto chegou dentro das expectativas,1,1
"Cuba impressionante de bela, nas lojas aqui custam cerca de 220,00, vale muito a pena!!!",1,1
Recebi parcialmente.,0,0
Paguei por dois itens e só veio um.,0,0
Ótimo atendimento ,1,1
boa,1,1
sem comentario,0,1
Gostei mto,1,1
"Eu comprei o produto, a qualidade dele não é a oque esperei, o valor na nota fiscal veio diferente do preço anunciado, tentei entrar em contato com vocês 5 vezes, para devolver o produto e vocês nada.",0,0
Muito bom,1,1
aguardo providencias,0,0
"Boa loja, entregou ate antes do prazo, super recomendo ",1,1
Linda a mesa !,1,1
Gostei muito da qualidade e do capeucho no acabamento. Amo os produtos baratheon. ,1,1
Achei que o produto fosse melhor!bom,0,1
"MEU PRODUTO CHEGOU 1 SEMANA ANTES QUE O PREVISTO 
EU RECOMENDO
",1,1
fui atendido satisfatorio,1,1
"Compensa comprar. Pra quem quer um material de reserva pra usar em treinos, vale bastante.",1,1
PRODUTO BOM DE BOA QUALIDADE ,1,1
Chegou corretamente e antes do prazo! ,1,1
Pedido chegou super rápido.,1,1
Muito boa compra,1,1
"Entrega rápida, produto igual ao anunciado.",1,1
"Rápido , fácil e ágil ",1,1
Ótimo adorei o produto. ,1,1
"Adquiri o produto c rodízios, entendi q fosse c 4 rodas de apoio no pé. Porém recebi o gaveteiro sem as rodinhas, com o apoio dos 4 pés estáticos.",0,1
Melhor do que imaginei... Grande e com um designer muito sofisticado ,1,1
Ótimo recomendo é ótimo,1,1
Tudo perfeito.,1,1
Recebido antes do prazo indicado. Em perfeitas condições.,1,1
"Ótimo chegou no tempo estimado , super moderno.",1,1
Não entregaram o produto ,0,0
quero devolver o produto,0,0
Produto entregue muito rápido. Fiquei muito satisfeita!Obrigada. ,1,1
"Produto lindo, entrega rápida e segura.",1,1
"Entrega super rápida, a mercadoria chegou muito antes do prazo, e em perfeito estado!! Ótimo produto, super recomendo a todos. Estou muito feliz com minha compra!!!!",1,1
ótimas pratilheiras,1,1
"Muito bom , veio exatamente como descrito.",1,1
"Solicitei o cancelamento da compra após comprar, a nota fainda não tinha sido emitida e me retornaram no dia seguinte dizendo que não seria possível cancelar pois o produto já tinha sido despachado",0,0
"Já comprei vários produtos, rapidez, seriedade e qualidade.
Vou continuar comprando.",1,1
"Produto de boa qualidade, chegou antes do prazo, vendedor extremamente atencioso.",1,1
Não coloque ainda mas se ficar do meu gosto comorarei mais,1,1
EXCELENTE,1,1
"adorei o produto, chegou no prazo e super otimo o produto. ",1,1
Tô usando a pouco tempo mas por enquanto atendeu minhas expectativas.,1,1
O produto retornou para o vendedor e até hj n me deram satisfação... N consigo entrar em.contato com eles... Liguei nas lannister e me falaram q iam solicitar o reenvio do produto... Até hj nada...:(,0,0
Aguardando a retirada e entrega do produto correto. Indignada!o O consumidor comprar o item tamanho CASAL E VOCES mandarem no tamanho QUENN. Nota fiscal um tamanho e produto outro. Cade a conferência?,0,0
Demora muito ,0,0
Muito bom ,1,1
Há uma grande dificuldade em contactar o fornecedor para resolver qualquer problema.,0,0
Horrível,0,0
Chegou certinho.,1,1
a qualidade é baixa,0,0
"Tudo muito ruim, não tem ninguém com possamos fazer reclamação pela não entrega do do produto. Não tem ouvidoria, para reclamações. Não tem nenhum pessypara informar o por que da demora da entrega. ",0,0
Muito bom,1,1
"O produto foi entregue, porém veio faltando os acessórios dois fones de ouvidos com fio e dois suportes de ouvidos",0,0
Muito bom chegou antes do prazo,1,1
Recebi parte do pedido. Somente o whey. A creatina não veio. Mandei email perguntando sobre o ocorrido e ano tive resposta! ,0,0
Muito Bom recomendo!!! ,1,1
Chegou antes do esperado.perfeito!!!,1,1
Satisfeito com o produto até o presente momento.,1,1
Comprei o produto com a data de validade ate 2019 veio 2018,0,0
"Linda , amei",1,1
"Vendedor correto, recebi o produto antes da data marcada, nada a reclamar.",1,1
O produto foi entregue corretamente e rápido. Estava de acordo com o pedido. Veio bem embalado. Estou bem satisfeita.,1,1
"Recebemos o produto, porém faltando a quantidade correta!
Compramos 6 pedestais é só vieram 4, já entrei em contato com as lannister e estão resolvendo.",1,0
Recebi corretamente o produto no prazo estipulado.,1,1
"Entrega muito rapida, muito antes do prazo ",1,1
RECEBI MUITO ANTES DO PREVISTO,1,1
"Quadro muito mal produzido, não encosta na parede pelo fato que no centro tem uma armação de madeira que esta mais para fora que a armação de madeira das bordas!",0,0
"Recebi o produto 2 semanas antes do prazo, correto e de boa qualidade.",1,1
"produto muito bom,chegou antes do prazo e de ótima qualidade!",1,1
Nota 10,1,1
Amei a cabana e a entrega ocorreu em 1 dia útil.,1,1
"O produto chegou bem antes do prazo, porém uma das cadeiras estava com a embalagem aberta e dois parafusos haviam se perdido.",1,1
"Ótima mercadoria,Chegou antes do prazo. Recomendo ",1,1
"recomendo, chegou rápido!",1,1
Eu recomendo ,1,1
"DEMORA Na entrega mas recomendo
",1,0
"Muito satisfeita!!
",1,1
"Entrega foi efetuada antes do prazo, a meu pedido. Adorei, pois eu tinha viagem marcada e queria levar o presenter. Deu certo.",1,1
Recomendo,1,1
otimo produto recomendo a todos,1,1
"Falta de consideração com o cliente, pois ocorreu problema na entrega é em momento nenhum o problema foi tratado.duas compras, uma com prazo de entrega 15 e 21/02, as 2 atrasou, liguei dia 23 reclaman",0,0
"muita demora na entrega, não dão satisfação ",0,0
"Muito rapido e produto que eu esperava , reomendo",1,1
Eu comprei 4 agaveas so veio uma,0,0
parabéns .,1,1
"O produto chegou muito antes do previsto, fato louvável. No entanto, veio com defeito. Como devo proceder?",1,1
ADORO COMPRAR NA lannister,1,1
"Comprei 2 mini bike e só recebi uma, aguardo retorno.",0,0
"Muito bom chegou bem antes do prazo, produto de ótima qualidade meu filho amou ",1,1
"ja sou cliente ha varios anos, nada tenho a reclamar, sempre recebi os meus produtos",1,1
amei a colcha ,1,1
"O produto chegou bem antes da data prevista, muito bom, obrigada!",1,1
100 %.,1,1
blza bomm,1,1
"Satisfeito com produto, preço, prazo de entrega",1,1
"É igual da foto, chegou antes do prazo",1,1
O tecido de confecção não é da melhor qualidade. Não comprarei mais esse produto.,0,1
"NAO TENHO NENHUMA RECLAMAÇAO A FAZER , MAS ATE ESTA DATA DE HOJE SO RECEBI A MOCHILA AINDA FALTA O SACO DE DORMIR ,ESTOU NO AGUARDO ,DESDE JA AGRADEÇO .",1,0
Deu tudo certo,1,1
top,1,1
só poderia entregar mais rápido fim de ano ,1,1
"produto de ótima qualidade, acompanhado por um estojo lindo, recomendo.",1,1
estou testando produto,1,1
"O produto veio faltando,estou aguardando resolver isso ainda,",0,0
"Comprei 3 kits de cartuchos hp contendo 1 Preto e 1 colorido cada, total de 6 mas recebi em minha casa apenas 1 Preto e 1 colorido, com nota fiscal q dizia conter 3 de cada! Aguardo providências",0,0
Entregou o produto no prazo sem problemas...,1,1
"Adoro comprar com vocês, continuem assim",1,1
"Tudo funcionando, bem embalado.",1,1
Lindos amei,1,1
"Os produtos comprados no baratheon sempre haviam chegado, porem a lanterna de led que comprei não chegou e não foi me dado nenhuma explicação para isso.",0,0
"o investimento não e caro pelo beneficio, ",1,1
Exatamente o demonstrado no anúncio e entrega rápida.,1,1
Não recebi uma outra encomenda dessa loja.estou esperando eles me enviarem as duas proteínas de 2kg...,0,0
"Amei o bebedouro,muito eficiente cumpre o w promete!",1,1
gostei muito,1,1
"Boa noite!
Já solicitei a troca do produto por propaganda enganosa pois a foto do site e da embalagem não correspondem com o produto que estava dentro da embalagem! Cortina horrível!",0,0
produto entregue antes do tempo.o produto estava dentro do que eu esperava.,1,1
Adorei,1,1
"Comprei 3 frascos e chegou só 2. Me sinto lezada, não gostei . Vou passar a comprar em outro site que não repassa suas vendas .insatisfeita.",0,0
"a voltagem aqui e 220 v e veio 110 v , mas ja contactei e o fabricante fui prontamente atendido.",1,1
Loja muito boa,1,1
"Alem do prazo de entrega bem extenso a mercadoria ainda encontra-se retida, sem atualização, completando hoje exatamente 30 dias que comprei a mercadoria.",0,0
Continuem assim ja ganharam uma cliente. ,1,1
NÃO RECEBI e NINGUEM da LOJA ME CONTATOU POR E-MAIL como prometido,0,0
"Achei o produto bom, principalmente porque o pinico é removível. Uma sugestão seria que o fabricante colocasse pés fixador, porque quando a criança vai sentar, o produto desloca um pouco do lugar.",1,1
entrega realizada duas semanas antes do fim do prazo.,1,1
Perfeito ,1,1
"Produto de qualidade, tal como nas fotos, somente o soquete na ficha técnica está descrito como E14 e o que foi entregue e E27.",1,1
"Gostei muito, pois chegou ko prazo dado e veim tudo em perfeito estado. ",1,1
Adorei e super recomendo,1,1
"Eu estou contente, pelo produto, recebi até antes do prazo.",1,1
"Gostei muito, a entrega foi pontual e material veio certo.",1,1
Entrega feita antes do previsto foi perfeito e o produto correto.,1,1
Recomendo,1,1
Espero que eu receba minha mercadoria.,0,0
"Tudo certo, chegou no tempo certo e veio tudo ok",1,1
Excelente,1,1
Tudo excelente,1,1
"Os produtos vieram todos iguais.Paguei três preços diferentes.Um deles veio sem o plástico em uma caixa de papelão escrita por fora ""lava-louça"", as cores foram diferentes e o material bem inferior.",0,0
"Veio tudo certinho e antes da data prevista.Apenas 1 pequeno pedaço da árvore veio c/ a madeira comida,vou tentar preencher c/ pó de madeira,próximo ao aniversário irei montar as peças e ver melhor.",1,1
"Entrega super rápida e produto fiel à descrição mostrado no site. Parabéns!!
",1,1
serviço ruim,0,0
Mala de muito boa qualidade!,1,1
"Produto com nota fiscal, abaixo do preço da concorrência, entregue antes do prazo especificado",1,1
"Infelizmente o produto não era o q eu queria, as dimensões nao e informada do produto . ",1,0
Empresa muito eficiente!!!,1,1
adorei muito lindo o relogio e chegou antes do prazo.,1,1
TUDO CERTO.,1,1
"Tudo certo , conforme combinado ",1,1
"produto compacto, atendeu as expectativas, e como sempre entrega antes do prazo.",1,1
Gostei da cortina leve toda d voal. ,1,1
chegou antes do prazo ,1,1
Tudo ocorreu de forma eficiente,1,1
"INFORMEI VIA EMAIL PARA O ATENDIMENTO DAS lannister E PARA O ATENDIMENTO DA targaryen QUE NAO RECEBI ESTA MERCADORIA , COM PRAZO VENCIDO",0,0
"Parabéns aos envolvidos!
Produto foi entregue corretamente e até antes do prazo estabelecido!!",1,1
"Recebí o produto antes mesmo do prazo.
Obrigada super satisfeita.
Parabéns! Por isso que indico a todas as pessoas amigas.Um abraço",1,1
Produto original,1,0
Entrega foi excelente!,1,1
"Obrigado , estou super grato...",1,1
Chegou muito antes do prazo estimado,1,1
Excelente produto e muito rápido na entrega.,1,1
Chegou antes do prazo gostei mais do que Eu esperava capa muito boa gostei excelente,1,1
Produto não entregue,0,0
"Não sei porque recebi um email do stark que fazia referência a ""Imprevisto durante a entrega do pedido"". O produto chegou conforme anunciado. Não houve imprevisto algum.",1,1
Produto não tem clareza na informação. ,0,0
Recebi apenas 1 item e comprei dois! Estou aguardando retorno de vocês.,0,0
Relógio muito lindo porém veio descascando em pequenas partes da pulseira 😔😓,1,1
bom,1,1
"A minha encomenda chegou no prazo sertinho tudo ok 
",1,1
Só ficou a deseja pelo fato de pagar pelo frete é ter que ir pega nos Correios.,0,1
Recomendo a compra. Produto com bom preço e entrega antes do prazo.,1,1
Ainda aguardando o envio do produto.,0,0
Loja cumpriu o prometido,1,1
"A entrega estava prevista para 16/08 e foi entregue em 08/08!!!!!!

Excelente, produto chegou intacto!",1,1
"O produto veio antes do previsto, gostei muito dele, porem esperava que ele fosse maior. Tamanho do leitor e bem pequeno
",1,1
Gostaria de saber o que está acontecendo porque ainda não chegou?,0,0
"Produto bacana, meu filho gostou. Entrega muito rápida. Gostei bastante.",1,1
Somente o Frete que acho ainda muito caro,1,1
Muy hermosa.,1,1
Bom custo - beneficio.,1,1
"Otimo serviço das lannister, não e a primeira que compro pelo site da loja e sempre ocorreu tudo dentro do combinado! ",1,1
Nota dez,1,1
Produto de qualidade. Loja parceira muito boa.,1,1
"Recebi o produto antes do prazo previsto, e tudo em ordem, porém, após 5 min. de utilização, o massageador parou de funcionar... já solicitei o cancelamento da compra e estou aguardando a retirada.",1,1
Sem o produto nao recebido ,0,0
Sensacional,1,1
"o produto foi entregue no prazo e veio certinho, funcionando melhor do que eu esperava. Recomendo!",1,1
"Compra de dois produtos com previsão de chegada para ambos em 05/09/2017, porém apenas um produto foi entregue até o momento. Então o Relógio Digital Mormaii Acquarela FZU8C chegou e outro não.",0,0
"Produto lindo, chegou antes do previsto. Amei ... recomendo.",1,1
"Ótima qualidade, preço maravilhoso!!
Chegou bem antes do prazo, super recomendo.",1,1
"Fiz a solicitação de cancelamento do pedido e não obtive resposta da empresa. Ainda por cima consta no site como produto entregue, porém não o recebi.",0,0
"muito bom, produto entregue antes do prazo",1,1
Ótimo produto Boa qualidade rápida entrega adorei!!!,1,1
"Pedi duas unidades do produto e só entregaram uma. Liguei para a loja e me disseram que a outra estava sendo enviada, mas até o momento não recebi.",0,0
"Ótima loja, não tenho problemas. Melhor do mercado.",1,1
Produto de ótima qualidade e chegou antes do prazo. ,1,1
A mercadoria bem antes do previsto e a embalagem protegia bastante.,1,1
Gostei muito super recomendo,1,1
"Produto perfeito, entrega rapida. Super recomendo a loja",1,1
"Super recomendo, chegou super rapido e bem antes do prazo esperado",1,1
"O produto que comprei não correspondeu ao esperado, a qualidade do material deixou a desejar, além do que, comprei tapete para o Honda City 2015 e não coube no mesmo.
",0,0
Foi bom tão de parabéns,1,1
Entrega super rápida ,1,1
"Atendimento rápido, como também foi a entrega. Parabéns!",1,1
ENTREGA NO PRAZO LOJA HONESTA,1,1
"A bateria chegou estourada, estão nem consegui ligar o termômetro ainda.",0,0
Maravilhoso adorei o produto ,1,1
O produto veio diferente do anuncio,0,0
Falta de consideração com o cliente!,0,0
Meus produtos nao vieram completos comprei 3 produtos e vieram somente um e estou aguardando uma resposta do stark sobre o ocorrido quero saber se vao devolver meu dinheiro ou mandar os produtos ,0,0
Tudo perfeito,1,1
"Não gostei da da loja, porque tentei cancelar esse pedido e trocar por outro lustre,e a loja não aceitava.",0,0
Produto danificado e não aceita devolução ja estou abrindo reclamação no reclame aqui e se não obtiver resultado abrirei para lannister também .,0,0
"O produto é muito bom, só veio com defeito de fábrica. A parte inferior não está encaixando com a parte superior. Fica sambando. A loja é muito boa,porém estou esperando a resposta para a devolução.",0,0
gostei do atendimento,1,1
"A luva é muto boa, vem uma segunda pele para usar por baixo da luva normal, pena que essa segunda pele veio com uma linha saindo bem no meio, se puxar, ela descostura, mas a luva impermeável é ótima! ",1,1
"Otimo, como esperava ",1,1
Adorei a compra. Farei mais compras futuramente. Com certeza. ,1,1
Meu marido adorou! Atende todas as suas necessidades!,1,1
Muito Bom! Gostei Bastante! Tecido Ótimo! Atendeu Minhas Espectativas! 👏👏👏 Super Recomendo! 👍,1,1
até hoje tudo que encomendo das lojas lannister vem muito certo...gosto de voces,1,1
"O preço da loja é ótimo, porém não tem opções de afiação maiores e NÃO ACOMPANHA OS PARAFUSOS E BUCHAS",1,1
"Efetuei a compra em 02/02/18 e até hoje não recebi o produto. Quando tento rastrear a entrega, verifico que o status não muda há mais de 20 dias.",0,0
Tudo perfeito e como prometido!,1,1
Só não consegui se tem infra vermelho ,1,1
"Produto um pouco fraco, mas atende",1,1
"Não veio com tudo que disse que vinha , nas informações do produto no vendedor , informa que vem com gelo térmico , mas veio sem",1,0
"Recebi ate agora só um item, e são dois... ",0,0
"estou insatisfeita em relação a entrega que não foi entregue ainda,já paguei a parcela do produto e não o recebi ainda. ",0,0
"Não recebi produto ... 
Status está como recebimento dia 27/Outubro
Aguardo retorno ",0,0
"Recebi antes do prazo e em ótimas condições. O produto igual a descrição
Amei, facilita a vida ",1,1
"então; adorei entrega rapida, produto ótimo do jeitinho que eu esperava, valeu mesmo, o unico probleminha, ... uma peça veio quebrada.
",1,1
não recebi a mercadoria...,0,0
"Tudo veio nos conformes, obrigado!",1,1
Não recebi o produto e também não tive reembolso,0,0
"Chegou ate muito rápido, bem, os correios também estão funcionando melhor",1,1
"recomendo sim pois entrega sertinho produto do geito que e postado super recomendo
",1,1
"Entrega antes do prazo
",1,1
Muito bom. Mercadoria veio bem antes do previsto. Acompanhamento da entrega da mercadoria excelente. Parabéns. Continuem assim.,1,1
Não recomendado o vendedor até agora não recebi o produto,0,0
excelente...entrega rapida,1,1
"Chegou mais rápido que o prazo previsto, fiquei muito feliz com isso. Ja estou usando o produto e gostei muito. Ja comprei outras vezes no baratheon e vou continuar comprando. Site de muita confiança! ",1,1
"entrega rapida, produto bom",1,1
"Demora absurda para entrega, dentro do prazo especificado por eles, mas ainda sim muito demorado!",0,1
Muito bom ,1,1
"A cor vem um pouco diferente da imagem (mais escuro), não é antiderrapante, prevê ser meio fraco. Ainda assim é lindo!",1,1
"Fiz o pedido de uma base 300 revlon e um pó revlon, paguei pelos dois. O pedido foi feito no dia 24/06/2018 e na entrega chegou apenas o pó, a base não estava junto. ",0,0
Excelente atendimento e entrega rápida!!!,1,1
"Não dei nota 5 pq não veio na mesma embalagem. Veio embalagem branca proibido pra venda, mas por outro lado o preço estava bom",1,1
"Produto chegou antes do prazo.
Recomendo...",1,1
Recomendo o vendedor... ,1,1
Produto de qualidade. Compra satisfatória. Recomendo.,1,1
"Muito bonito, e atende o que diz! otimo produto!",1,1
"Produto de excelente qualidade, tecido macio e confortável. Recomendo",1,1
Recebi o produto bem embalado e no prazo. Muito obrigada ,1,1
"GOstei muito, veio certinho",1,1
Produto bom ,1,1
Entrega antes do prazo é produto muito bom ,1,1
ótimo muito bom.,1,1
recomendo essa loja para compras produto chegou em perfeitas condições e foi entregue rapidamente ,1,1
Adorei o kit. Idêntico a foto! Muito lindo!,1,1
Acho de uma incompetência extrema colocar e vender um produto em disponibilidade no ato da compra e o jogar na indisponibilidade logo depois por ver que o produto foi vendido num preço baixo. Só isso ,0,1
O produto chegou quebrado,0,0
"Chegou no prazo ,porém acho que n tinha o que eu pedi e veio outro modelo .Mas mesmo assim estou satisfeita ",1,1
Recebi outro produto no lugar....a nota fiscal veio correta com a descrição porém quando abri a embalagem mandaram um prato de bolo de vidro com tampa. Aguardo a lannister resolver o problema. ,0,0
"Otimo,chegou antes do prazo de entrega.produto em otimo estado, muito bom RECOMENTO",1,1
Fiquei sem informações de rastreamento em tempo real. Chegou o produto é o rastreamento não indicava isso. ,1,0
"super legal o tapete, poderia ser um pouco mais grossinho, mas está ótimo",1,1
"Chegou antes do prazo de entrega 
Perfeito ótima qualidade excelente produto recomendo a todos . Eu amei ",1,1
Melhor loja......,1,1
"Recebi bem antes do prazo, gosto de comprar na lannister por causa da rapidez.
Super recomendo.
Obrigada",1,1
"Entrega do produto antes do prazo, muito bom",1,1
"produto ótimo,entrega super rápida,super indico",1,1
Muito satisfeita,1,1
"Não recebido e ninguém responde os meu email
Nem a atualizar o acompanhamento pra saber se ainda vou receber minha em comenda",0,0
Jduddjjd,1,1
Avental lindo!,1,1
comprei num dia e no outro já recebi o produto. Recomendo.,1,0
"Tudo certo com a loja, mas 1 mês esperando os COrreios entregarem.",0,1
Produto de ótima qualidade.,1,1
amei o produto ,1,1
Produto chegou mais rápido que o esperado e de ótima qualidade. ,1,1
Muito satisfeito,1,1
o,1,1
"Achei gostoso
",1,1
"Vou comprar de novo..e top
",1,1
Chegou antes do prazo.,1,1
"embalagem apropriada, entregue dentro do prazo",1,1
Foi td muito rapido fiquei ate surpreso!,1,1
Foi cobrado frete e a mercadoria não chegou até minha casa. Tive que retirar nos correios .,0,0
"Chegou antes do previsto,parabens pelos responsáveis pela logística da entrega.",1,1
Amei tudo muito lindo...,1,1
Produto não foi entregue,0,0
Não passou o prazo ainda.,0,0
Uma lanterna bem diferente para uso geral.,1,1
Poderiam ter jateado mais tinta nas partes internas da estante. Mas tudo bem,1,1
"Chegou bem antes do prazo estimado, recomendo!",1,1
gostei ,1,1
Vendedor pontual e o produto satisfez minha expectativa. ,1,1
"Comprei dois relógios, um Relógio Feminino Bracelete Dourado Strass que chegou com defeito e outro Relógio Feminino Bracelete Flor Com Pérolas que ñ chegou, mas consta como entregue.",0,0
Produto maravilhoso ,1,1
Produto chegou rápido e de acordo com a descrição. Já testei e funciona. ,1,1
Dentro do prazo porém poderiam agilizar como no meu outro produto que foi entregue em 2 dias.,0,1
obs. tenho um outro produto que comprei com vcs é vai fazer um mês que recebe o produto com defeito e até hoje não fizeram a troca do produto,0,0
Entrega no prazo e produto conforme especificações.,1,1
"Recebi o produto antes do prazo. Gostei muito do produto, mais bonito pessoalmente. Recomendo. ",1,1
falta ser entregue uma cadeira,0,0
"Vendido como tapete de yoga, sendo que não tem o tamanho mínimo para tal prática, se forem dignos e pessoas de acordo com os direitos dos consumidores vão me devolver o dinheiro!!",0,0
ESPERO NUNCA MAIS COMPRAR E TER QUE RESPONDER ESSE TIPO DE AVALIAÇÃO,0,0
"Produto sem embalagem e etiqueta. Não entendi a proposta. Creio que veio de uma tecelagem, pois os lençóis vieram sem embalagem do produto e etiqueta.",0,0
Muito bom,1,1
boa,1,1
Serviço fantástico sem burocracia e entrega garantida,1,1
Meu produto veio errado outro modelo fui trocar não tem mais,0,0
" Muito bonito , acabamento excelente. Deu um toque de classe à minha cozinha.",1,1
"comprei uma bateria 12v xb 1270 e recebi uma xb 12AL, de amperagem menor que a efetivamente comprada.",0,0
"Produto entregue antes do prazo, chegou muito bem embalado e funcionando corretamente.",1,1
Amei! Muito macio,1,1
Gostei muito,1,1
Ótimo produto ,1,1
Produto bom. Minha esposa adorou. Entrega super rápida. Parabéns baratheon.,1,1
Produto de baixa qualidade. ,0,0
muito bom,1,1
linda carteira do jeito que queria,1,1
Lindo produto e de qualidade. Amei.,1,1
